SA2 name,Population density 2020
Caloundra Hinterland,20
Glass House Mountains,35.2
Landsborough,97.5
Maroochy Hinterland,12.6
Palmwoods,98.6
Bli Bli,235.7
Diddillibah - Rosemount,136.2
Eumundi - Yandina,55.8
Nambour,399.6
Noosa Hinterland,29.6
Cambooya - Wyreema,35.9
Darling Heights,1201.1
Drayton - Harristown,642.8
Gatton,162.6
Gowrie (Qld),87.6
Highfields,97.9
Lockyer Valley - West,8.3
Middle Ridge,858
Newtown (Qld),1766
North Toowoomba - Harlaxton,570.2
Rangeville,1021.3
Toowoomba - Central,1448.3
Toowoomba - East,503.7
Toowoomba - West,93.3
Wilsonton,737.2
Ayr,128.9
Burdekin,1.6
Charters Towers,186.6
Dalrymple,0.1
Ingham,101.2
Ingham Region,2.3
Palm Island,37.3
Aitkenvale,1481.4
Annandale,541.1
Belgian Gardens - Pallarenda,81.1
Bohle Plains,84.3
Condon - Rasmussen,240.7
Cranbrook,1773.9
Deeragun,401.6
Douglas,109.1
Garbutt - West End,367.8
Gulliver - Currajong - Vincent,1597
Heatley,2020.6
Hermit Park - Rosslea,1334
Hyde Park - Pimlico,1392.5
Kelso,65.8
Kirwan - East,2132.9
Kirwan - West,1660.7
Magnetic Island,46.9
Mount Louisa,316.9
Mundingburra,1286.7
Northern Beaches,6.6
Oonoonba,850.5
South Townsville - Railway Estate,604.5
Townsville - South,2.2
Townsville City - North Ward,1439.4
Wulguru - Roseneath,96.7
Ashfield - Kepnock,671.2
Bargara - Burnett Heads,123.2
Branyan - Kensington,105.1
Bundaberg,1000.2
Bundaberg East - Kalkie,417.8
Bundaberg North - Gooburrum,136.3
Bundaberg Region - North,7.4
Bundaberg Region - South,4.6
Millbank - Avoca,760.5
Svensson Heights - Norville,888.7
Walkervale - Avenell Heights,873.4
Gayndah - Mundubbera,0.8
Gin Gin,2.2
Kingaroy,146.5
Kingaroy Region - North,2.2
Kingaroy Region - South,1.7
Monto - Eidsvold,0.3
Nanango,6
North Burnett,0
Cooloola,5.8
Gympie - North,346.2
Gympie - South,268.2
Gympie Region,8
Kilkivan,1.2
Booral - River Heads,32.8
Craignish - Dundowran Beach,149.3
Pialba - Eli Waters,806.3
Point Vernon,1206.2
Torquay - Scarness - Kawungan,1434.8
Urangan - Wondunna,606.9
Burrum - Fraser,3.8
Granville,65.2
Maryborough (Qld),218.1
Maryborough Region - South,2.4
Tinana,157.6
Adelaide,1796.2
North Adelaide,1443.4
Adelaide Hills,19.2
Aldgate - Stirling,154.1
Hahndorf - Echunga,41.8
Lobethal - Woodside,46
Mount Barker,377.7
Mount Barker Region,17.2
Nairne,216.7
Uraidla - Summertown,48.2
Burnside - Wattle Park,1717.4
Glenside - Beaumont,1069.3
Toorak Gardens,2471.2
Athelstone,1534.8
Paradise - Newton,2253.5
Rostrevor - Magill,2344.4
Norwood (SA),2786.1
Payneham - Felixstow,2467.9
St Peters - Marden,2292.3
Nailsworth - Broadview,2757.2
Prospect,2820.1
Walkerville,2292.9
Goodwood - Millswood,2540.4
Unley - Parkside,2987.7
Gawler - North,65.8
Gawler - South,278.6
Lewiston - Two Wells,72.3
Craigmore - Blakeview,1657.6
Davoren Park,1932.5
Elizabeth,1147.4
Elizabeth East,1647.4
Munno Para West - Angle Vale,351.5
One Tree Hill,19.3
Smithfield - Elizabeth North,1536.1
Virginia - Waterloo Corner,36
Enfield - Blair Athol,1631.3
Northgate - Oakden - Gilles Plains,2446.1
Windsor Gardens,2603.3
Dry Creek - North,0
Ingle Farm,2048
Para Hills,1461.7
Parafield,25.5
Parafield Gardens,2584.8
Paralowie,2106.4
Salisbury,1725.1
Salisbury East,1228.7
Salisbury North,579.8
Mawson Lakes - Globe Derby Park,1502.6
Pooraka - Cavan,1075.9
Golden Grove,394
Greenwith,1526.6
Highbury - Dernancourt,911.8
Hope Valley - Modbury,1662.9
Modbury Heights,1963.3
Redwood Park,1165.3
St Agnes - Ridgehaven,1041.6
Brighton (SA),2495.6
Glenelg (SA),2934.3
Edwardstown,2601
Hallett Cove,1386.8
Marino - Seaview Downs,797
Mitchell Park,2157.6
Morphettville,2582
Sheidow Park - Trott Park,1120.2
Warradale,2766.1
Belair,188.3
Bellevue Heights,885.8
Blackwood,761.2
Colonel Light Gardens,2353.5
Mitcham (SA),1453.5
Panorama,1517.8
Aberfoyle Park,844.3
Aldinga,460.8
Christie Downs,1138.3
Christies Beach,1490.4
Clarendon,22.3
Coromandel Valley,1016.9
Flagstaff Hill,1116
Hackham - Onkaparinga Hills,267.4
Hackham West - Huntfield Heights,1754.5
Happy Valley,1369
Happy Valley Reservoir,0
Lonsdale,3
McLaren Vale,56.2
Morphett Vale - East,1793.8
Morphett Vale - West,1972.4
Reynella,1344
Seaford (SA),1063.6
Willunga,42.6
Woodcroft,871.2
Beverley,2080.2
Flinders Park,2461.4
Henley Beach,2685.4
Hindmarsh - Brompton,2419.7
Royal Park - Hendon - Albert Park,1955.9
Seaton - Grange,2121.9
West Lakes,1772.2
Woodville - Cheltenham,2141.7
Dry Creek - South,0
Largs Bay - Semaphore,2229.9
North Haven,1005.3
Port Adelaide,875.8
The Parks,1059
Torrens Island,0.3
Adelaide Airport,0
Fulham,2114.7
Lockleys,2354.3
Plympton,2435.9
Richmond (SA),1960.6
West Beach,1181.2
Barossa - Angaston,10.2
Light,8.6
Lyndoch,36.9
Mallala,3.9
Nuriootpa,143.4
Tanunda,276.6
Clare,58.1
Gilbert Valley,3
Goyder,0.6
Wakefield - Barunga West,1.8
Jamestown,1.5
Peterborough - Mount Remarkable,0.6
Port Pirie,187.1
Port Pirie Region,2.2
Kadina,14.3
Moonta,19.1
Wallaroo,29.4
Yorke Peninsula - North,2
Yorke Peninsula - South,1.8
Ceduna,6.2
Eyre Peninsula,0.9
Kimba - Cleve - Franklin Harbour,0.3
Le Hunte - Elliston,0.2
Port Lincoln,120.7
West Coast (SA),0.1
Western,0
Whyalla,525.5
Whyalla - North,0
APY Lands,0
Coober Pedy,23.4
Quorn - Lake Gilles,0.1
Outback,0
Port Augusta,52.8
Roxby Downs,13.6
Goolwa - Port Elliot,66
Kangaroo Island,1.1
Strathalbyn,49.5
Strathalbyn Region,5.2
Victor Harbor,120.6
Yankalilla,6.4
Grant,3.6
Kingston - Robe,0.9
Millicent,30.2
Naracoorte,55.5
Naracoorte Region,0.5
Penola,2.2
Tatiara,1
Wattle Range,1.5
Mount Gambier - East,228.2
Mount Gambier - West,116.3
Barmera,7.7
Berri,350.1
Karoonda - Lameroo,0.3
Loxton,37.6
Loxton Region,0.4
Mannum,2
Murray Bridge,199
Murray Bridge Region,2
Renmark,327.9
Renmark Region,5.7
The Coorong,0.6
Waikerie,1.2
Augusta,3
Busselton,144.8
Busselton Region,9.7
Margaret River,76.8
Australind - Leschenault,283.8
Capel,10.8
College Grove - Carey Park,704.4
Collie,5
Dardanup,6.3
Davenport,1
Eaton - Pelican Point,1226.3
Harvey,5.5
East Bunbury - Glen Iris,305.2
Waroona,5.1
Dalyellup,598.8
Gelorup - Stratham,48.5
South Bunbury - Bunbury,1072.5
Withers - Usher,605.5
Bridgetown - Boyup Brook,1.6
Donnybrook - Balingup,3.9
Manjimup,16.9
Pemberton,0.5
Dawesville - Bouvard,87.1
Falcon - Wannanup,1001.8
Greenfields,989.9
Halls Head - Erskine,1400
Mandurah,1052
Mandurah - East,165.7
Mandurah - North,662.2
Mandurah - South,896.3
Pinjarra,12.7
City Beach,704.5
Claremont (WA),2294.7
Cottesloe,2161.8
Floreat,2014.9
Mosman Park - Peppermint Grove,2007.1
Nedlands - Dalkeith - Crawley,2018.3
Swanbourne - Mount Claremont,849.7
Kings Park (WA),8.6
Mount Hawthorn - Leederville,3017.5
Mount Lawley - Inglewood,2465.7
North Perth,3022.9
Perth City,3528.5
Subiaco - Shenton Park,2276.5
Wembley - West Leederville - Glendalough,2887.8
Bassendean - Eden Hill - Ashfield,1543.9
Bayswater - Embleton - Bedford,1763.8
Maylands,2656.8
Morley,2146.5
Noranda,1617.9
Chidlow,28.2
Glen Forrest - Darlington,128.7
Helena Valley - Koongamia,654.7
Malmalling - Reservoir,0
Mundaring,110.6
Swan View - Greenmount - Midvale,811.3
Avon Valley National Park,0.1
Ballajura,792.6
Beechboro,433.2
Bullsbrook,22.6
Ellenbrook,1216.8
Gidgegannup,9.3
Hazelmere - Guildford,287.5
Lockridge - Kiara,864.9
Malaga,2
Melaleuca - Lexia,0
Middle Swan - Herne Hill,180.2
Midland - Guildford,919
Stratton - Jane Brook,305.7
The Vines,195.8
Walyunga National Park,0
Craigie - Beldon,1470.1
Currambine - Kinross,2359.2
Duncraig,2044
Greenwood - Warwick,1616.8
Heathridge - Connolly,1628.8
Hillarys,1813
Iluka - Burns Beach,1679.8
Joondalup - Edgewater,876.1
Kingsley,1672.2
Mullaloo - Kallaroo,1994.9
Ocean Reef,1516.2
Padbury,1435.2
Sorrento - Marmion,2286.1
Woodvale,1323.2
Balcatta - Hamersley,1539.1
Balga - Mirrabooka,2210.6
Dianella,2188.6
Herdsman,0
Innaloo - Doubleview,3255.4
Karrinyup - Gwelup - Carine,1562.4
Nollamara - Westminster,3211.3
Osborne Park Industrial,5.2
Scarborough,3514.9
Stirling - Osborne Park,2212.5
Trigg - North Beach - Watermans Bay,1411.1
Tuart Hill - Joondanna,3437.2
Wembley Downs - Churchlands - Woodlands,1858.2
Yokine - Coolbinia - Menora,2411.4
Alexander Heights - Koondoola,1815.4
Butler - Merriwa - Ridgewood,2579.4
Carramar,651.8
Clarkson,1298.8
Girrawheen,2093.9
Madeley - Darch - Landsdale,1470
Marangaroo,2213.3
Mindarie - Quinns Rocks - Jindalee,1634.1
Neerabup National Park,0.4
Tapping - Ashby - Sinagra,288.8
Wanneroo,665
Alkimos - Eglinton,450.4
Carabooda - Pinjar,1.9
Two Rocks,68.2
Yanchep,601
Armadale - Wungong - Brookdale,881.7
Ashendon - Lesley,0
Camillo - Champion Lakes,693.4
Forrestdale - Harrisdale - Piara Waters,637.9
Kelmscott,706.8
Mount Nasura - Mount Richon - Bedfordale,136.1
Roleystone,97.6
Seville Grove,2506.6
Belmont - Ascot - Redcliffe,1371.5
East Victoria Park - Carlisle,2844.4
Kewdale Commercial,1.4
Perth Airport,1.5
Rivervale - Kewdale - Cloverdale,2724.6
Victoria Park - Lathlain - Burswood,2092.9
Bentley - Wilson - St James,1897.9
Canning Vale - West,1170
Canning Vale Commercial,0
Cannington - Queens Park,2044.6
Parkwood - Ferndale - Lynwood,1623.8
Riverton - Shelley - Rossmoyne,2182.3
Welshpool,3.1
Willetton,2158.8
Beckenham - Kenwick - Langford,1056.2
Canning Vale - East,2476
Gosnells,1337.1
Huntingdale - Southern River,1228.9
Maddington - Orange Grove - Martin,281.2
Thornlie,2022.1
Forrestfield - Wattle Grove,731.1
High Wycombe,1427.3
Kalamunda - Maida Vale - Gooseberry Hill,542.1
Lesmurdie - Bickley - Carmel,54.4
Byford,743.6
Mundijong,26.1
Serpentine - Jarrahdale,8.1
Como,2297.8
Manning - Waterford,1965.6
South Perth - Kensington,2237.1
Banjup,697.2
Bibra Industrial,1.1
Bibra Lake,0
Coogee,936.7
Coolbellup,1865.4
Hamilton Hill,1714.7
Henderson,2.7
North Coogee,1375.3
South Lake - Cockburn Central,1327
Spearwood,1719.8
Success - Hammond Park,1977.5
Yangebup,1272.3
Beeliar - Wattleup,343.7
Jandakot,167.7
East Fremantle,2519.8
Fremantle,567.7
Fremantle - South,2085.9
O`Connor (WA),12
Bertram - Wellard (West),1506.7
Calista,499.8
Hope Valley - Postans,1.1
Kwinana Industrial,1.5
Parmelia - Orelia,1455.3
Casuarina - Wandi,209.4
Applecross - Ardross,2140.4
Bateman,1890.5
Bicton - Palmyra,2339.3
Booragoon,2253
Bull Creek,1914.5
Leeming,1656.9
Melville,2231.2
Murdoch - Kardinya,1509.9
Willagee,2463.7
Winthrop,1717.2
Baldivis,299.8
Cooloongup,1741.2
Port Kennedy,647.7
Rockingham,438.4
Rockingham Lakes,0.5
Safety Bay - Shoalwater,1659.6
Singleton - Golden Bay - Secret Harbour,1547.1
Waikiki,2182.8
Warnbro,1938
Albany,465.1
Albany Region,0.9
Bayonet Head - Lower King,208.6
Denmark,3.4
Gnowangerup,0.2
Katanning,1.7
Kojonup,0.5
Little Grove - Elleker,27.3
McKail - Willyung,111.9
Plantagenet,1.2
Stirling Range National Park,0
Chittering,4.9
Cunderdin,0.6
Dowerin,0.3
Gingin - Dandaragan,0.9
Merredin,0.5
Moora,0.3
Mukinbudin,0.1
Northam,7.7
Toodyay,2.6
York - Beverley,1.2
Brookton,0.5
Kulin,0.2
Murray,0.9
Narrogin,8.8
Wagin,0.5
Broome,287.8
Derby - West Kimberley,0.1
Halls Creek,0
Kununurra,0.1
Roebuck,0
East Pilbara,0
Newman,284.9
Port Hedland,47.8
South Hedland,462.7
Ashburton (WA),0.1
Karratha,130.3
Roebourne,0.4
Esperance,25.2
Esperance Region,0.1
Carnarvon,60.9
Exmouth,0
Boulder,532.2
Kalgoorlie,556.8
Kalgoorlie - North,285.2
Kalgoorlie Airport,0.8
Kambalda - Coolgardie - Norseman,0
Leinster - Leonora,0
Trafalgar (WA),0
Geraldton,488.3
Geraldton - East,98.3
Geraldton - North,58.1
Geraldton - South,391.9
Irwin,1.5
Meekatharra,0
Morawa,0.2
Northampton - Mullewa - Greenough,0.2
Bridgewater - Gagebrook,135.3
Brighton - Pontville,70
Old Beach - Otago,157.6
Bellerive - Rosny,1291.2
Cambridge,82.3
Geilston Bay - Risdon,380.3
Howrah - Tranmere,1200.1
Lindisfarne - Rose Bay,943.9
Mornington - Warrane,585.8
Risdon Vale,96.7
Rokeby,452
South Arm,61.5
Austins Ferry - Granton,154.9
Berriedale - Chigwell,166.1
Claremont (Tas.),448.9
Derwent Park - Lutana,862.1
Glenorchy,1113.4
Montrose - Rosetta,879
Moonah,1920.2
New Norfolk,109.8
West Moonah,2281.4
Kingston - Huntingfield,196.2
Kingston Beach - Blackmans Bay,502.1
Margate - Snug,56.9
Mount Wellington,0
Taroona - Bonnet Hill,464.5
Hobart,1356.9
Lenah Valley - Mount Stuart,906.1
Mount Nelson - Dynnyrne,673.8
New Town,1658.6
Sandy Bay,1857.8
South Hobart - Fern Tree,280.7
West Hobart,1744.4
Dodges Ferry - Lewisham,25.9
Sorell - Richmond,25.3
Invermay,803.1
Kings Meadows - Punchbowl,808.5
Launceston,1014
Legana,133.3
Mowbray,438.5
Newnham - Mayfield,425.5
Newstead,1510.5
Norwood (Tas.),998.5
Prospect Vale - Blackstone,373.4
Ravenswood,355.5
Riverside,142.5
South Launceston,1747.7
Summerhill - Prospect,562.3
Trevallyn,486.6
Waverley - St Leonards,66.4
West Launceston,1076.9
Youngtown - Relbia,314.2
Beauty Point - Beaconsfield,15
Deloraine,2.3
Grindelwald - Lanena,17.6
Hadspen - Carrick,20.4
Westbury,6.1
Dilston - Lilydale,3.3
George Town,9.6
Longford,19.7
Northern Midlands,0.8
Perth - Evandale,24.3
St Helens - Scamander,1.9
Flinders and Cape Barren Islands,0.5
Scottsdale - Bridport,2.1
Central Highlands,0.3
Derwent Valley,2.5
Southern Midlands,2.5
Wilderness - East,0
Bruny Island - Kettering,7.3
Cygnet,20.2
Geeveston - Dover,4.8
Huonville - Franklin,13.4
Forestier - Tasman,3.7
Triabunna - Bicheno,1.9
Acton - Upper Burnie,1574.9
Burnie - Ulverstone Region,3.7
Burnie - Wivenhoe,323.8
Parklands - Camdale,342.3
Penguin - Sulphur Creek,83.5
Romaine - Havenview,289
Somerset,149.2
Ulverstone,254.8
West Ulverstone,237.3
Wynyard,107.9
Devonport,1379.2
East Devonport,364
Latrobe,23.2
Miandetta - Don,164.6
Port Sorell,17.8
Quoiba - Spreyton,108.3
Sheffield - Railton,5.5
Turners Beach - Forth,39.9
King Island,1.5
North West,0.9
Smithton,43.1
Waratah,1
West Coast (Tas.),1.1
Wilderness - West,0
Darwin Airport,1.1
Darwin City,2273.6
East Point,5.9
Fannie Bay - The Gardens,954.2
Larrakeyah,2047.6
Ludmilla - The Narrows,477.6
Parap,2640.2
Stuart Park,2668.3
Woolner - Bayview - Winnellie,404.6
Alawa,1713
Anula,1779.5
Berrimah,44.6
Brinkin - Nakara,1241.6
Buffalo Creek,0
Charles Darwin,0
Coconut Grove,2192.8
East Arm,0.5
Jingili,1404.7
Karama,2372.3
Leanyer,1809.6
Lyons (NT),949.7
Malak - Marrara,936.8
Millner,1693.1
Moil,1920.6
Nightcliff,2626.8
Rapid Creek,1794.4
Tiwi,803.5
Wagaman,2623.5
Wanguri,2120.8
Wulagi,1906.7
Howard Springs,64.8
Humpty Doo,57.9
Koolpinyah,0
Virginia,65
Weddell,3.4
Bakewell,2423.2
Driver,1697.3
Durack - Marlow Lagoon,404.6
Gray,2233
Moulden,1761.3
Palmerston - North,942.5
Palmerston - South,260.5
Rosebery - Bellamack,2313.6
Woodroffe,2118.7
Charles,256.6
East Side,216.6
Flynn (NT),281.6
Larapinta,88.2
Mount Johns,210.7
Petermann - Simpson,0
Ross,13.8
Sandover - Plenty,0
Tanami,0
Yuendumu - Anmatjere,0
Barkly,0
Tennant Creek,78.5
Alligator,0.1
Daly,0.1
Thamarrurr,0.9
Tiwi Islands,0.4
West Arnhem,0.2
Anindilyakwa,1
East Arnhem,0.3
Nhulunbuy,430.4
Elsey,0
Gulf,0.1
Katherine,1.4
Victoria River,0
Aranda,1600
Belconnen,1724.8
Bruce,1324.5
Charnwood,1541
Cook,1775
Dunlop,1985.9
Evatt,1701.5
Florey,1689.4
Flynn (ACT),1607.7
Fraser,791.9
Giralang,1361
Gooromon,0.7
Hawker,1524.3
Higgins,1856.9
Holt,1475.6
Kaleen,1237.6
Latham,1348.9
Lawson,652.3
Macgregor (ACT),1717.7
Macquarie,1660.8
McKellar,2010.6
Melba,1406.8
Page,2359.2
Scullin,2117.8
Spence,1730.8
Weetangera,1673.8
Molonglo Corridor,0.5
West Belconnen,10.1
Hume,50.6
Kowen,0.5
Canberra East,26.6
Canberra Airport,17.9
Majura,2.3
Amaroo,2280.1
Bonner,2663.7
Casey,2600.2
Crace,3220.7
Forde,2421.4
Franklin,3257
Gungahlin,1527.5
Hall,101.8
Harrison,3039.6
Mitchell,0.5
Ngunnawal,2695.5
Nicholls,1030.8
Palmerston,2828.4
Gungahlin - East,0
Gungahlin - West,0
Jacka,260.5
Kenny,1.5
Moncrieff,2288.8
Taylor,308
Throsby,897.6
Acton,802.2
Ainslie,1473.2
Braddon,4600.8
Civic,3413.9
Dickson,1761.2
Downer,2457.5
Hackett,1644.3
Lyneham,1029.6
O`Connor (ACT),1211.3
Turner,3060.4
Watson,1703.7
Black Mountain,0
Campbell,1283.8
Duntroon,812.7
Parkes (ACT) - North,3.6
Reid,1837.3
Russell,6.1
Deakin,836.4
Forrest,1110.6
Griffith (ACT),1949.3
Lake Burley Griffin,0
Narrabundah,1538.4
Parkes (ACT) - South,2.8
Red Hill (ACT),639.6
Yarralumla,429.8
Barton,1420.9
Fyshwick,6
Kingston (ACT),4296.2
Banks,2150.6
Bonython,1282.8
Calwell,1427.2
Chisholm,1649.8
Conder,1089.6
Fadden,948.4
Gilmore,1329.3
Gordon (ACT),1702.5
Gowrie (ACT),1612.6
Greenway,544.9
Isabella Plains,1755.5
Kambah,1309.3
Macarthur,1064.2
Monash,1536.4
Mount Taylor,0.3
Oxley (ACT),1505.8
Richardson,1343.7
Theodore,1190.6
Tuggeranong,0.3
Wanniassa,1363.2
Tuggeranong - West,1.6
Chapman,1495.3
Duffy,1130.7
Fisher,1848.7
Holder,1414.1
Rivett,2042.7
Stirling,1623.3
Waramanga,1585.6
Weston,960.2
Scrivener,1.9
Chifley,1577.2
Curtin,1108.8
Farrer,1624.2
Garran,1358.4
Hughes,1678.8
Isaacs,758.1
Lyons (ACT),1388.7
Mawson,1601.7
O`Malley,412
Pearce,1586.4
Phillip,1659.9
Torrens,1661.4
Arboretum,1.3
Coombs,1642
Denman Prospect,203
Molonglo,0
Molonglo - North,0.5
Wright,2977.4
ACT - South West,1.4
Namadgi,0
